VL_FATU,VL_SLDO,DT_ABRT,DS_CNAE,DT_REFE
198456231,5489632,2003-05-18,"Serviços advocatícios",2025-04-02
28956314,-235689,2017-08-01,"Lanchonetes, casas de chá, de sucos e similares",2025-02-27
289563140,-8956321,1982-12-30,"Cultivo de soja",2025-05-29
95632147,1985632,1998-03-12,"Corretagem na compra e venda e avaliação de imóveis",2025-03-30
8563214,895632,2021-10-05,"Treinamento em desenvolvimento profissional e gerencial",2025-01-29
175896321,1589632,2000-07-20,"Serviços de arquitetura",2025-04-25
88956321,-456321,2008-01-15,"Comércio varejista de artigos do vestuário e acessórios",2025-02-23
15689321,589632,2014-09-22,"Consultoria em tecnologia da informação",2025-05-04
789632,58963,2024-01-08,"Serviços de personal trainer",2025-03-01
210589632,-1025896,1991-06-11,"Fabricação de móveis com predominância de madeira",2025-01-30
4589632,658932,2020-04-03,"Serviços de táxi",2025-05-28
130589632,3589632,2006-08-25,"Manutenção e reparação de veículos automotores",2025-02-26
2589632,201589,2023-03-01,"Serviços de entrega rápida",2025-04-03
275896321,-2589632,1986-11-17,"Incorporação de empreendimentos imobiliários",2025-03-28
70589632,856321,2011-02-09,"Produção de filmes para publicidade",2025-01-27
