ID_PGTO,ID_RCBE,VL,DS_TRAN,DT_REFE
C93829,C48392,75,PIX,2025-04-12
C73928,C10293,13500,TED,2025-05-20
C48392,C58392,9500,BOLETO,2025-03-05
C84920,C93829,210,PIX,2025-04-30
C10293,C73928,150000,SISTEMICO,2025-05-09
C60291,C84920,830,PIX,2025-03-26
C58392,C60291,1290,BOLETO,2025-04-18
C93829,C10293,25,PIX,2025-05-01
C73928,C93829,88000,TED,2025-03-15
C48392,C84920,5400,SISTEMICO,2025-04-04
C10293,C58392,125,PIX,2025-05-14
C60291,C48392,7200,BOLETO,2025-03-31
C84920,C73928,33000,TED,2025-04-25
C58392,C10293,190,PIX,2025-05-28
C93829,C58392,4200,SISTEMICO,2025-03-10
C48392,C60291,9990,BOLETO,2025-04-08
C10293,C93829,180,PIX,2025-05-19
C73928,C60291,6100,TED,2025-03-21
C60291,C10293,85,PIX,2025-04-14
C58392,C84920,29000,BOLETO,2025-05-06
